id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
7430,CDS,cde_fo,EURINR,10540,OPTCUR,PE,86.25,EURINR10FEBRUARY2386.25PE,EURINR2321086.25PE,EURINR 10FEB23 86.25 PE,10-02-2023,1,0.0025
7431,CDS,cde_fo,EURINR,10541,OPTCUR,CE,86.5,EURINR10FEBRUARY2386.5CE,EURINR2321086.5CE,EURINR 10FEB23 86.5 CE,10-02-2023,1,0.0025
7432,CDS,cde_fo,EURINR,10542,OPTCUR,PE,86.5,EURINR10FEBRUARY2386.5PE,EURINR2321086.5PE,EURINR 10FEB23 86.5 PE,10-02-2023,1,0.0025
7433,CDS,cde_fo,EURINR,10543,OPTCUR,CE,86.75,EURINR10FEBRUARY2386.75CE,EURINR2321086.75CE,EURINR 10FEB23 86.75 CE,10-02-2023,1,0.0025
7434,CDS,cde_fo,EURINR,10623,OPTCUR,CE,76.5,EURINR28MARCH2376.5CE,EURINR23MAR76.5CE,EURINR 28MAR23 76.5 CE,28-03-2023,1,0.0025
7435,CDS,cde_fo,EURINR,10624,OPTCUR,PE,76.5,EURINR28MARCH2376.5PE,EURINR23MAR76.5PE,EURINR 28MAR23 76.5 PE,28-03-2023,1,0.0025
7436,CDS,cde_fo,EURUSD,10625,OPTCUR,CE,0.965,EURUSD28MARCH230.965CE,EURUSD23MAR0.965CE,EURUSD 28MAR23 0.965 CE,28-03-2023,1,0.0001
7437,CDS,cde_fo,EURUSD,10626,OPTCUR,PE,0.965,EURUSD28MARCH230.965PE,EURUSD23MAR0.965PE,EURUSD 28MAR23 0.965 PE,28-03-2023,1,0.0001
7438,CDS,cde_fo,JPYINR,10627,OPTCUR,CE,56.75,JPYINR17FEBRUARY2356.75CE,JPYINR2321756.75CE,JPYINR 17FEB23 56.75 CE,17-02-2023,1,0.0025
7439,CDS,cde_fo,JPYINR,10628,OPTCUR,PE,56.75,JPYINR17FEBRUARY2356.75PE,JPYINR2321756.75PE,JPYINR 17FEB23 56.75 PE,17-02-2023,1,0.0025
7440,CDS,cde_fo,JPYINR,10629,OPTCUR,CE,57,JPYINR17FEBRUARY2357CE,JPYINR2321757CE,JPYINR 17FEB23 57 CE,17-02-2023,1,0.0025
7441,CDS,cde_fo,EURINR,10635,OPTCUR,PE,86.75,EURINR10FEBRUARY2386.75PE,EURINR2321086.75PE,EURINR 10FEB23 86.75 PE,10-02-2023,1,0.0025
7442,CDS,cde_fo,JPYINR,10641,OPTCUR,PE,57,JPYINR17FEBRUARY2357PE,JPYINR2321757PE,JPYINR 17FEB23 57 PE,17-02-2023,1,0.0025
7443,CDS,cde_fo,JPYINR,10642,OPTCUR,CE,57.25,JPYINR17FEBRUARY2357.25CE,JPYINR2321757.25CE,JPYINR 17FEB23 57.25 CE,17-02-2023,1,0.0025
